Última atualização: 11/09/2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Operação;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link
SWNG;MG0284;Samarco Mina do Germano;MARIANA;Minas Gerais;"043°29'22,0""O";"20°11'55,0""S";VFR Diurna;31;Quadrado;21m x 21m;t;Asfalto;23/06/2026;PA2016-1570;https://pergamum.anac.gov.br/arquivos/PA2016-1570.pdf
SWQM;MG0285;Fazenda Quinzeiro Moeda;MOEDA;Minas Gerais;"044°02'31,0""O";"20°19'19,0""S";VFR Diurna/Noturna;2;Quadrado;21m x 21m;t;Grama;25/01/2028;PA2018-0166;https://pergamum.anac.gov.br/arquivos/PA2018-0166.pdf
SWVM;MG0288;Vinte e Oito;BELO HORIZONTE;Minas Gerais;"043°57'30,0""O";"19°57'46,0""S";VFR Diurna/Noturna;14;Quadrado;19,5m x 19,5m;t;Concreto;29/05/2023;PA2013-1397;https://pergamum.anac.gov.br/arquivos/PA2013-1397.pdf
SWZI;MG0290;Multitoc;ITAJUBÁ;Minas Gerais;"045°26'03,1""O";"22°25'54,2""S";VFR Diurna;24 27;Quadrado;19,5m x 19,5m;t;Concreto;13/09/2022;PA2012-1824;https://pergamum.anac.gov.br/arquivos/PA2012-1824.pdf
SSUF;SP0884;Rede D'Or São Luiz Anália Franco;SÃO PAULO;São Paulo;"046°33'30,0""O";"23°32'56,0""S";VFR Diurna/Noturna;24;Quadrado;21m x 21m;t;Concreto;;;
SIHM;CE0033;Dragão do Ar;FORTALEZA;Ceará;"038°26'00,9""O";"03°48'06,0""S";VFR Diurna/Noturna;11;Quadrado;20m x 20m;t;Concreto;04/04/2023;PA2013-0877;https://pergamum.anac.gov.br/arquivos/PA2013-0877.pdf
SSDB;BA0216;Fazenda Baviera;ITAGIBÁ;Bahia;"039°49'45,6""O";"14°07'16,3""S";VFR Diurna/Noturna;9 24;Quadrado;20m x 20m;t;Concreto;09/03/2026;PA2016-0510;https://pergamum.anac.gov.br/arquivos/PA2016-0510.pdf
SICO;ES0014;Columbia II;FUNDÃO;Espírito Santo;"040°24'40,0""O";"19°56'15,0""S";VFR Diurna/Noturna;20;Quadrado;20m x 20m;t;Grama;27/01/2024;PA2014-0206;https://pergamum.anac.gov.br/arquivos/PA2014-0206.pdf
SSMD;BA0220;Maremanga;SALVADOR;Bahia;"038°38'38,0""O";"12°45'48,0""S";VFR Diurna/Noturna;13 31;Quadrado;21m x 21m;t;Concreto;23/02/2026;PA2016-0359;https://pergamum.anac.gov.br/arquivos/PA2016-0359.pdf
SJWY;DF0014;Parqway;BRASÍLIA;Distrito Federal;"047°58'23,0""O";"15°54'39,0""S";VFR Diurna/Noturna;6 18;Quadrado;18m x 18m;t;Concreto;15/05/2023;PA2013-1219;https://pergamum.anac.gov.br/arquivos/PA2013-1219.pdf
SINU;SC0104;Irmãos Hort;BRUSQUE;Santa Catarina;"048°56'49,4""O";"27°07'02,3""S";VFR Diurna/Noturna;24;Quadrado;18m x 18m;t;Concreto;;;
SIHQ;DF0012;Residência Oficial de Águas Claras I;BRASÍLIA;Distrito Federal;"048°01'44,0""O";"15°49'45,0""S";VFR Diurna/Noturna;6 24;Quadrado;28,5m x 28,5m;t;Concreto;01/03/2022;PA2014-1187;https://pergamum.anac.gov.br/arquivos/PA2014-1187.pdf
SWJT;GO0178;Toca da Orca;SANTO ANTÔNIO DE GOIÁS;Goiás;"049°13'33,0""O";"16°27'50,0""S";VFR Diurna/Noturna;23;Quadrado;18m x 18m;t;Concreto;19/12/2023;PA2013-3325;https://pergamum.anac.gov.br/arquivos/PA2013-3325.pdf
SSUE;SP0780;Helicentro Ribeirão Preto;RIBEIRÃO PRETO;São Paulo;"047°46'12""O";"21°12'37,0""S";VFR Diurna/Noturna;4 28;Quadrado;21m x 21m;t;Asfalto;26/03/2026;PA2019-048;https://pergamum.anac.gov.br/arquivos/PA2019-048.pdf
SNDL;CE0048;Luciano Cavalcante;PARAIPABA;Ceará;"039°07'34,0""O";"03°20'45,0""S";VFR Diurna/Noturna;11;Quadrado;20m x 20m;t;Concreto;06/07/2026;PA2016-1697;https://pergamum.anac.gov.br/arquivos/PA2016-1697.pdf
SSNW;BA0345;FBDM;BARROCAS;Bahia;"039°04'52,0""O";"11°27'06,0""S";VFR Diurna;10 25;Quadrado;20m x 20m;t;Concreto;;;
SWQR;AL0019;Reserva do Toque;SÃO MIGUEL DOS MILAGRES;Alagoas;"035°22'16,0""O";"09°15'18,0""S";VFR Diurna/Noturna;34;Quadrado;21m x 21m;t;Concreto;25/04/2026;PA2016-0995;https://pergamum.anac.gov.br/arquivos/PA2016-0995.pdf
SNPR;PE0047;Gilson Machado;GRAVATÁ;Pernambuco;"035°36'56,0""O";"08°11'27,0""S";VFR Diurna/Noturna;21 36;Quadrado;20m x 20m;t;Paralelepípedo;06/02/2025;PA2015-0280;https://pergamum.anac.gov.br/arquivos/PA2015-0280.pdf
SNQK;PE0048;Muro Alto Beach Resort;IPOJUCA;Pernambuco;"034°59'00,0""O";"08°26'14,0""S";VFR Diurna/Noturna;9;Quadrado;18m x 18m;t;Concreto;18/01/2022;PA2012-0107;https://pergamum.anac.gov.br/arquivos/PA2012-0107.pdf
SNZM;PE0051;JCPM Trade Center;RECIFE;Pernambuco;"034°52'55,0""O";"08°05'23,0""S";VFR Diurna/Noturna;13 31;Quadrado;20m x 20m;t;Concreto;;;
SSTH;PE0052;SESC Triunfo;TRIUNFO;Pernambuco;"038°06'32,0""O";"07°50'34,0""S";VFR Diurna;35;Quadrado;21m x 21m;t;Grama;27/08/2025;PA2015-2274;https://pergamum.anac.gov.br/arquivos/PA2015-2274.pdf
SSTT;PE0053;Lemon Motel;RECIFE;Pernambuco;"034°54'19,0""O";"08°04'29,0""S";VFR Diurna/Noturna;27;Quadrado;18m x 18m;t;Concreto;05/06/2024;PA2014-1297;https://pergamum.anac.gov.br/arquivos/PA2014-1297.pdf
SSUP;PE0054;Hospital Santa Joana;RECIFE;Pernambuco;"034°53'53,0""O";"08°03'09,0""S";VFR Diurna/Noturna;4 22;Quadrado;18m x 18m;t;Concreto;18/04/2022;PA2018-0538;https://pergamum.anac.gov.br/arquivos/PA2018-0538.pdf
SWLE;PE0056;Empresarial Alfred Nobel;RECIFE;Pernambuco;"034°53'46,0""O";"08°03'53,0""S";VFR Diurna/Noturna;2 29;Quadrado;18m x 18m;t;Concreto;01/02/2022;PA2012-0224;https://pergamum.anac.gov.br/arquivos/PA2012-0224.pdf
SWVQ;PE0057;Turim;BUÍQUE;Pernambuco;"037°16'15,0""O";"08°41'37,6""S";VFR Diurna/Noturna;4;Quadrado;20m x 20m;t;Concreto;28/10/2024;PA2014-2508;https://pergamum.anac.gov.br/arquivos/PA2014-2508.pdf
SWXI;PE0058;Praia do Paiva;JABOATÃO DOS GUARARAPES;Pernambuco;"034°56'17,0""O";"08°14'21,0""S";VFR Diurna/Noturna;16 34;Quadrado;20m x 20m;t;Concreto;28/10/2024;PA2014-2510;https://pergamum.anac.gov.br/arquivos/PA2014-2510.pdf
